cd_id,cd_cliente,cd_unidade,cd_id_talhao,cd_fazenda,cd_zona,cd_talhao,desc_operac,processo_macro,data_operacao,DAP,semana_ano,id_safra,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local
615401000024,24,1,1355205674000024,2001,1,203,T. Culturais - Controle de Doença - Soja,fungicida,2023-12-06,40,49,620,6,6uge,6uge3,6uge3x
615401000024,24,1,1355205674000024,2001,1,203,T. Culturais - Controle de Doença - Soja,fungicida,2023-12-14,48,50,620,6,6uge,6uge3,6uge3x
615401000024,24,1,1355205674000024,2001,1,203,T. Culturais - Controle de Doença - Soja,fungicida,2024-01-05,70,1,620,6,6uge,6uge3,6uge3x
615401000024,24,1,1355205674000024,2001,1,203,T. Culturais - Controle de Doença - Soja,fungicida,2024-01-20,85,3,620,6,6uge,6uge3,6uge3x
615399000024,24,1,1355205674000024,2001,1,203,T. Culturais - Controle de Sugadores - Soja,inseticida,2024-01-31,96,5,620,6,6uge,6uge3,6uge3x
615403000024,24,1,1355205674000024,2001,1,203,TC Aplicação Dessecação da Cultura - Soja,herbicida,2024-02-01,97,5,620,6,6uge,6uge3,6uge3x
615403000024,24,1,1355205674000024,2001,1,203,TC Aplicação Dessecação da Cultura - Soja,herbicida,2024-02-21,117,8,620,6,6uge,6uge3,6uge3x
573788000013,13,3,50221270000013,3,46,19,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-01,0,39,621,6,6v85,6v851,6v851k
615395000024,24,1,1355205674000024,2001,1,203,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-10-17,0,42,621,6,6uge,6uge3,6uge3x
42224560000024,24,1,1355205674000024,2001,1,203,Plantio Mecanizado - Soja,plantio,2024-10-17,0,42,621,6,6uge,6uge3,6uge3x
